Susceptible,Asymptomatic,Symptomatic,Recovered,Died,QuarantineAsym,QuarantineSymp,TestTotal,TestAsSymptom,TestAsContact,TestAsSuspected,TestPositive,TestNegative,TestPositiveRate
996,4,0,0,0,0,0,0,0,0,0,0,0,0
996,4,0,0,0,0,0,0,0,0,0,0,0,0
996,4,0,0,0,0,0,0,0,0,0,0,0,0
996,4,0,0,0,0,0,0,0,0,0,0,0,0
996,4,0,0,0,0,0,0,0,0,0,0,0,0
996,4,0,0,0,0,0,0,0,0,0,0,0,0
996,4,0,0,0,0,0,0,0,0,0,0,0,0
996,4,0,0,0,0,0,0,0,0,0,0,0,0
996,4,0,0,0,0,0,0,0,0,0,0,0,0
996,3,1,0,0,0,0,0,0,0,0,0,0,0
996,3,1,0,0,0,0,0,0,0,0,0,0,0
996,3,1,0,0,0,0,0,0,0,0,0,0,0
996,3,1,0,0,0,0,0,0,0,0,0,0,0
996,2,2,0,0,0,0,0,0,0,0,0,0,0
996,1,3,0,0,0,0,0,0,0,0,0,0,0
